Identificador,Sexo,Edad,Carnet,Zona,AntiguedadVehiculo,SiniestroAnterior,PrimaMensualActual,AntiguedadCliente
350001,Male,25,1,Suroeste,0,No,211.48,5
350002,Male,40,1,Centro,4,Sí,198.57,10
350003,Male,47,1,Centro,3,Sí,238.67,17
350004,Male,27,1,Centro,1,No,406.29,25
350005,Male,22,1,Suroeste,1,No,239.67,23
350006,Male,25,1,Suroeste,0,No,132.32,20
350007,Male,42,1,Suroeste,3,Sí,30,24
350008,Desconocido,37,1,Noreste,4,No,177.77,12
350009,Male,64,1,Centro,5,Sí,187.65,22
350010,Male,24,1,Centro,1,No,252.77,23
350011,Male,25,1,Centro,0,Sí,255.32,18
350012,Male,41,1,Suroeste,2,Sí,78.94,12
350013,Desconocido,Desconocido,1,Centro,1,No,233.4,25
350014,Female,26,1,Norte,1,No,224.05,7
350015,Female,24,1,Suroeste,0,No,212.11,15
350016,Female,21,1,Centro,1,Sí,195.91,7
350017,Desconocido,Desconocido,1,Noreste,4,Sí,30,23
350018,Male,58,1,Centro,3,Sí,244.83,17
350019,Male,44,1,Noreste,2,No,182.21,12
350020,Female,40,1,Centro,2,No,276.5,11
350021,Female,26,1,Suroeste,1,No,153.43,20
350022,Male,71,1,Centro,3,No,312.1,10
350023,Female,64,1,Noreste,3,No,289.31,22
350024,Male,25,1,Suroeste,1,No,249.07,24
350025,Female,24,1,Centro,0,Sí,136.91,23
350026,Male,27,1,Norte,3,Sí,161.88,23
350027,Male,24,1,Noreste,1,No,252.69,21
350028,Male,22,1,Suroeste,0,No,147.56,25
350029,Male,51,1,Centro,3,No,239.78,17
350030,Female,45,1,Centro,4,Sí,244.25,3
350031,Female,23,1,Centro,0,No,30,21
350032,Male,49,1,Centro,2,Sí,182.44,11
350033,Male,35,1,Noreste,3,Sí,266.88,1
350034,Male,20,1,Noreste,1,No,204.66,23
350035,Male,30,1,Noreste,1,No,137.45,14
350036,Male,54,1,Suroeste,2,Sí,132.25,19
350037,Male,61,1,Norte,3,Sí,30,3
350038,Female,53,1,Suroeste,2,Sí,293.14,9
350039,Male,23,1,Norte,0,Sí,233.97,19
350040,Male,23,1,Norte,1,No,234.6,12
350041,Male,42,1,Centro,3,Sí,313.9,11
350042,Male,24,1,Suroeste,1,No,199.16,19
350043,Male,26,1,Noreste,0,Sí,263.46,22
350044,Female,24,1,Suroeste,0,No,179.64,25
350045,Male,45,1,Noreste,2,No,203.98,17
350046,Male,25,1,Centro,0,No,30,20
350047,Female,40,1,Suroeste,4,Sí,193.31,8
350048,Male,22,1,Centro,0,Sí,184.46,5
350049,Male,25,1,Noreste,0,No,232.27,10
350050,Female,23,1,Centro,1,Sí,148.95,20
350051,Female,23,1,Centro,1,No,156.48,22
350052,Male,62,1,Noreste,2,No,191.99,15
350053,Female,29,1,Noreste,0,No,166.94,14
350054,Desconocido,Desconocido,1,Noreste,4,Sí,383.01,14
350055,Female,22,1,Suroeste,1,No,155.85,16
350056,Female,24,1,Centro,0,Sí,246.41,7
350057,Male,36,1,Centro,3,Sí,260.01,19
350058,Male,33,1,Noreste,2,Sí,148.94,2
350059,Male,65,1,Noreste,3,Sí,169.64,17
350060,Male,39,1,Suroeste,3,No,170.34,3
350061,Female,44,1,Noreste,3,No,91.36,2
350062,Female,53,1,Norte,4,Sí,30,23
350063,Male,20,1,Centro,4,Sí,321.37,20
350064,Female,32,1,Norte,4,No,207.27,17
350065,Female,21,1,Suroeste,4,Sí,148.28,18
350066,Female,23,1,Noreste,0,Sí,293.82,19
350067,Male,26,1,Norte,1,No,353.7,12
350068,Male,20,1,Norte,0,Sí,208.85,23
350069,Male,38,1,Norte,2,Sí,139.87,3
350070,Male,52,1,Centro,6,Sí,265.78,23
350071,Male,24,1,Suroeste,0,No,215.84,7
350072,Male,42,1,Centro,3,No,196.35,21
350073,Male,39,1,Norte,2,Sí,205.67,15
350074,Male,45,1,Centro,9+,Sí,439.2,11
350075,Female,26,1,Norte,1,Sí,30,15
350076,Male,35,1,Norte,3,No,216.92,15
350077,Female,23,1,Suroeste,0,No,233.94,19
350078,Female,20,1,Noreste,1,Sí,243.62,6
350079,Female,21,1,Noreste,1,No,186.55,24
350080,Female,60,1,Centro,2,Sí,234.05,21
350081,Male,71,1,Noreste,2,No,241.11,5
350082,Male,53,1,Norte,8,Sí,182.5,21
350083,Male,57,1,Norte,4,Sí,30,23
350084,Male,67,1,Centro,4,Sí,30,10
350085,Female,25,1,Norte,1,Sí,30,19
350086,Female,43,1,Centro,2,No,214.98,21
350087,Male,38,1,Centro,3,Sí,134.89,10
350088,Male,69,1,Noreste,4,Sí,30,20
350089,Female,55,1,Suroeste,2,Sí,220.41,25
350090,Male,21,1,Noreste,1,No,157.59,24
350091,Female,49,1,Norte,2,Sí,30,17
350092,Male,52,1,Suroeste,8,Sí,174.52,8
350093,Male,43,1,Norte,3,Sí,30,21
350094,Female,20,1,Centro,0,Sí,126.64,17
350095,Female,56,1,Centro,4,Sí,169.47,13
350096,Female,25,1,Noreste,0,No,151.1,15
350097,Female,30,1,Centro,2,Sí,178.97,8
350098,Female,27,1,Suroeste,0,No,88.19,16
350099,Male,23,1,Suroeste,0,No,193.22,2
350100,Male,28,1,Noreste,0,No,218.71,2
350101,Female,21,1,Centro,1,No,253.97,10
350102,Male,26,1,Noreste,1,No,175.3,14
350103,Female,21,1,Noreste,1,No,151.57,20
350104,Female,28,1,Suroeste,1,No,241.53,13
350105,Female,44,1,Centro,3,No,258.45,15
350106,Female,23,1,Centro,0,Sí,117.33,12
350107,Male,61,1,Noreste,4,No,255.17,5
350108,Desconocido,Desconocido,1,Noreste,4,Sí,248.3,25
350109,Male,35,1,Suroeste,4,Sí,30,20
350110,Female,25,1,Suroeste,0,No,109.54,18
350111,Male,24,1,Noreste,1,Sí,30,11
350112,Male,24,1,Centro,1,No,120.65,20
350113,Male,41,1,Noreste,2,No,197.55,8
350114,Desconocido,25,1,Suroeste,1,No,133.7,20
350115,Male,25,1,Norte,1,No,188.5,7
350116,Male,61,1,Norte,2,No,30,13
350117,Male,39,1,Norte,2,Sí,30,19
350118,Male,41,1,Centro,4,Sí,172.98,17
350119,Female,26,1,Centro,1,No,198.8,6
350120,Male,53,1,Suroeste,4,Sí,136.52,11
350121,Male,29,1,Centro,0,No,30,17
350122,Female,43,1,Centro,3,Sí,210.95,2
350123,Female,30,1,Noreste,1,No,30,7
350124,Desconocido,43,1,Suroeste,4,Sí,182.19,18
350125,Male,22,1,Noreste,1,Sí,190.5,12
350126,Female,22,1,Centro,1,No,162.46,24
350127,Male,57,1,Suroeste,3,No,150.79,17
350128,Female,23,1,Centro,1,Sí,165.57,25
350129,Female,67,1,Centro,2,Sí,177.61,25
350130,Male,23,1,Noreste,1,No,151.23,19
350131,Female,22,1,Suroeste,1,No,198.54,18
350132,Female,27,1,Noreste,1,Sí,299.73,10
350133,Desconocido,Desconocido,1,Noreste,1,No,170.72,12
350134,Male,25,1,Centro,2,Sí,30,24
350135,Male,38,1,Centro,2,Sí,194.96,5
350136,Male,29,1,Norte,1,No,159.85,5
350137,Female,20,1,Centro,2,Sí,251,17
350138,Desconocido,24,1,Noreste,1,No,144,15
350139,Male,20,1,Norte,0,No,154.61,5
350140,Desconocido,Desconocido,1,Centro,4,Sí,307.91,10
350141,Female,23,1,Suroeste,1,No,172.58,20
350142,Male,64,1,Noreste,4,No,30,16
350143,Desconocido,Desconocido,1,Centro,4,Sí,113.14,3
350144,Male,36,1,Centro,2,Sí,30,8
350145,Male,38,1,Centro,3,Sí,318.25,5
350146,Male,50,1,Suroeste,4,Sí,236.53,6
350147,Female,24,1,Suroeste,1,Sí,277.11,6
350148,Male,20,1,Noreste,0,No,213.13,24
350149,Male,27,1,Noreste,0,Sí,30,13
350150,Female,25,1,Suroeste,1,No,217.09,5
