poliza,Exposicion,NsinMatRC,CsinMatRC,condCarne,condScore,polAntiguedad,polTipoPago,geoComunidad,vehPotencia,vehValor,vehCombustible,vehUso,vehClase,vehPuertas,vehLong,samples
5,0.0164383561643836,0,0,47,2,18,Anual-Efectivo,Comunidad de Madrid,650,571266,Gasolina,Particular,OTRO,2,4656,Modelling
5,1,0,0,48,2,18,Anual-Efectivo,Comunidad de Madrid,650,571266,Gasolina,Particular,OTRO,2,4656,Modelling
36,0.052054794520548,1,1163.14,30,2,18,Anual-Domiciliado,Comunidad de Madrid,193,29048,Gasolina,Particular,BERLINA,4,4803,Modelling
36,0.972602739726027,0,0,31,2,18,Anual-Domiciliado,Comunidad de Madrid,193,29048,Gasolina,Particular,BERLINA,4,4803,Modelling
117,1,0,0,38,2,18,Anual-Domiciliado,Comunidad de Madrid,170,48557.25,Diesel,Particular,OTRO,5,4820,Validation
117,1,0,0,39,2,19,Anual-Domiciliado,Comunidad de Madrid,170,48557.25,Diesel,Particular,OTRO,5,4820,Modelling
40156,0.0876712328767123,0,0,38,2,17,Anual-Efectivo,Comunidad de Madrid,450,148366,Gasolina,Particular,BERLINA,4,5179,Validation
40156,0.912328767123288,0,0,38,2,17,Anual-Efectivo,Comunidad de Madrid,450,148366,Gasolina,Particular,BERLINA,4,5179,Modelling
40156,0.0876712328767123,0,0,39,2,18,Anual-Efectivo,Comunidad de Madrid,450,148366,Gasolina,Particular,BERLINA,4,5179,Validation
49422,1,0,0,48,2,17,Anual-Efectivo,Comunidad de Madrid,650,571331,Gasolina,Particular,OTRO,2,4656,Modelling
49422,1,0,0,49,2,18,Anual-Efectivo,Comunidad de Madrid,650,571331,Gasolina,Particular,OTRO,2,4656,Modelling
64973,0.0438356164383562,0,0,50,7,16,Anual-Efectivo,Comunidad de Madrid,265,31644,Gasolina,Particular,BERLINA,3,4299,Modelling
64973,1,0,0,51,7,16,Anual-Efectivo,Comunidad de Madrid,265,31644,Gasolina,Particular,BERLINA,3,4299,Modelling
137165,0.487671232876712,0,0,37,5,13,Anual-Efectivo,Comunidad de Madrid,110,15901,Diesel,Particular,BERLINA,5,4184,Modelling
137165,0.512328767123288,0,0,37,5,13,Anual-Efectivo,Comunidad de Madrid,110,15901,Diesel,Particular,BERLINA,5,4184,Modelling
137165,0.487671232876712,0,0,38,5,14,Anual-Efectivo,Comunidad de Madrid,110,15901,Diesel,Particular,BERLINA,5,4184,Modelling
148127,0.493150684931507,0,0,24,1,13,Semestral-Domiciliado,Comunidad de Madrid,265,32342,Gasolina,Particular,BERLINA,3,4299,Modelling
148127,1,0,0,25,1,13,Semestral-Domiciliado,Comunidad de Madrid,265,32342,Gasolina,Particular,BERLINA,3,4299,Modelling
156021,0.301369863013699,0,0,33,7,12,Anual-Domiciliado,Comunidad de Madrid,125,22540,Gasolina,Particular,BERLINA,5,4360,Modelling
156021,0.698630136986301,0,0,33,7,12,Anual-Domiciliado,Comunidad de Madrid,125,22540,Gasolina,Particular,BERLINA,5,4360,Modelling
156021,0.301369863013699,0,0,34,7,13,Anual-Domiciliado,Comunidad de Madrid,125,22540,Gasolina,Particular,BERLINA,5,4360,Modelling
185778,0.493150684931507,0,0,36,2,11,Anual-Efectivo,Comunidad de Madrid,115,22089.3,Gasolina,Particular,OTRO,5,4620,Modelling
185778,0.506849315068493,0,0,37,2,11,Anual-Efectivo,Comunidad de Madrid,115,22089.3,Gasolina,Particular,OTRO,5,4620,Modelling
185778,0.493150684931507,0,0,37,2,12,Anual-Efectivo,Comunidad de Madrid,115,22089.3,Gasolina,Particular,OTRO,5,4620,Modelling
185779,0.493150684931507,0,0,36,2,11,Anual-Efectivo,Comunidad de Madrid,208,40528,Gasolina,Particular,OTRO,5,4727,Modelling
185779,0.506849315068493,0,0,37,2,11,Anual-Efectivo,Comunidad de Madrid,208,40528,Gasolina,Particular,OTRO,5,4727,Modelling
185779,0.493150684931507,0,0,37,2,12,Anual-Efectivo,Comunidad de Madrid,208,40528,Gasolina,Particular,OTRO,5,4727,Validation
232390,0.202739726027397,0,0,33,7,9,Anual-Domiciliado,Comunidad de Madrid,115,24333,Diesel,Comercial,OTRO,5,4380,Validation
232390,1,0,0,34,7,10,Anual-Domiciliado,Comunidad de Madrid,115,24333,Diesel,Comercial,OTRO,5,4380,Modelling
343342,0.427397260273973,0,0,47,2,5,Anual-Efectivo,Comunidad de Madrid,650,571390,Gasolina,Particular,OTRO,2,4656,Validation
343342,1,0,0,48,2,6,Anual-Efectivo,Comunidad de Madrid,650,571390,Gasolina,Particular,OTRO,2,4656,Modelling
356975,0.00273972602739726,0,0,21,1,4,Anual-Domiciliado,Comunidad de Madrid,60,13109,Gasolina,Particular,BERLINA,3,3970,Modelling
356975,1,0,0,22,1,4,Anual-Domiciliado,Comunidad de Madrid,60,13109,Gasolina,Particular,BERLINA,3,3970,Modelling
357001,0.673972602739726,1,1456.03,22,99,4,Anual-Efectivo,Comunidad de Madrid,130,19432,Diesel,Particular,OTRO,5,4248,Modelling
357001,0.328767123287671,0,0,23,99,4,Anual-Efectivo,Comunidad de Madrid,130,19432,Diesel,Particular,OTRO,5,4248,Modelling
357006,0.00273972602739726,0,0,52,1,4,Anual-Efectivo,Comunidad de Madrid,90,15064,Diesel,Particular,BERLINA,5,3785,Modelling
357006,1,0,0,53,1,4,Anual-Efectivo,Comunidad de Madrid,90,15064,Diesel,Particular,BERLINA,5,3785,Modelling
357036,0.00547945205479452,0,0,33,6,4,Anual-Domiciliado,Comunidad de Madrid,90,20095,Diesel,Particular,BERLINA,5,4263,Modelling
357036,1,1,697.78,34,6,4,Anual-Domiciliado,Comunidad de Madrid,90,20095,Diesel,Particular,BERLINA,5,4263,Modelling
357037,0.00547945205479452,0,0,17,1,4,Anual-Efectivo,Cataluña,86,14309,Gasolina,Particular,FAMILIAR,5,4247,Modelling
357037,1,0,0,18,1,4,Anual-Efectivo,Cataluña,86,14309,Gasolina,Particular,FAMILIAR,5,4247,Validation
357059,0.00547945205479452,0,0,38,2,4,Anual-Efectivo,Andalucía,85,15227.01,Gasolina,Particular,BERLINA,5,4061,Validation
357059,1,0,0,39,2,4,Anual-Efectivo,Andalucía,85,15227.01,Gasolina,Particular,BERLINA,5,4061,Validation
357083,0.00547945205479452,0,0,41,2,4,Anual-Domiciliado,Comunidad de Madrid,140,38364.38,Diesel,Particular,OTRO,5,4385,Modelling
357083,1,1,480.61,42,2,4,Anual-Domiciliado,Comunidad de Madrid,140,38364.38,Diesel,Particular,OTRO,5,4385,Modelling
357086,0.00547945205479452,0,0,31,1,4,Semestral-Domiciliado,Comunidad de Madrid,70,14865.07,Gasolina,Particular,BERLINA,5,4061,Modelling
357086,0.495890410958904,0,0,31,1,4,Semestral-Domiciliado,Comunidad de Madrid,70,14865.07,Gasolina,Particular,BERLINA,5,4061,Modelling
357086,0.504109589041096,0,0,32,1,4,Semestral-Domiciliado,Comunidad de Madrid,70,14865.07,Gasolina,Particular,BERLINA,5,4061,Modelling
357102,0.00547945205479452,0,0,23,1,4,Semestral-Domiciliado,Comunidad de Madrid,105,17710,Gasolina,Particular,BERLINA,5,4263,Modelling
357102,0.495890410958904,0,0,24,1,4,Semestral-Domiciliado,Comunidad de Madrid,105,17710,Gasolina,Particular,BERLINA,5,4263,Modelling
